Y,AFGHANISTAN
N,ALBANIA
Y,ALGERIA
N,ANDORRA
Y,ANGOLA
Y,ANTIGUA AND BARBUDA
Y,ARGENTINA
Y,ARMENIA
N,AUSTRALIA
N,AUSTRIA
Y,AZERBAIJAN
Y,BAHAMAS
Y,BAHRAIN
Y,BANGLADESH
Y,BARBADOS
Y,BELARUS
N,BELGIUM
Y,BELIZE
Y,BENIN
Y,BHUTAN
Y,BOLIVIA (PLURINATIONAL STATE OF)
N,BOSNIA AND HERZEGOVINA
Y,BOTSWANA
Y,BRAZIL
Y,BRUNEI DARUSSALAM
N,BULGARIA
Y,BURKINA FASO
Y,BURUNDI
Y,CABO VERDE
Y,CAMBODIA
Y,CAMEROON
N,CANADA
Y,CENTRAL AFRICAN REPUBLIC
Y,CHAD
Y,CHILE
Y,CHINA
Y,COLOMBIA
Y,COMOROS
Y,CONGO
Y,COSTA RICA
Y,COTE D'IVOIRE
N,CROATIA
Y,CUBA
N,CYPRUS
N,CZECHIA
Y,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA
Y,DEMOCRATIC REPUBLIC OF THE CONGO
N,DENMARK
Y,DJIBOUTI
Y,DOMINICA
Y,DOMINICAN REPUBLIC
Y,ECUADOR
Y,EGYPT
Y,EL SALVADOR
Y,EQUATORIAL GUINEA
Y,ERITREA
N,ESTONIA
Y,ESWATINI
Y,ETHIOPIA
Y,FIJI
N,FINLAND
N,FRANCE
Y,GABON
Y,GAMBIA
N,GEORGIA
N,GERMANY
Y,GHANA
N,GREECE
Y,GRENADA
Y,GUATEMALA
Y,GUINEA
Y,GUINEA-BISSAU
Y,GUYANA
Y,HAITI
Y,HONDURAS
N,HUNGARY
N,ICELAND
Y,INDIA
Y,INDONESIA
Y,IRAN (ISLAMIC REPUBLIC OF)
Y,IRAQ
N,IRELAND
N,ISRAEL
N,ITALY
Y,JAMAICA
N,JAPAN
Y,JORDAN
Y,KAZAKHSTAN
Y,KENYA
Y,KIRIBATI
Y,KUWAIT
Y,KYRGYZSTAN
Y,LAO PEOPLE'S DEMOCRATIC REPUBLIC
N,LATVIA
Y,LEBANON
Y,LESOTHO
Y,LIBERIA
Y,LIBYA
N,LIECHTENSTEIN
N,LITHUANIA
N,LUXEMBOURG
Y,MADAGASCAR
Y,MALAWI
Y,MALAYSIA
Y,MALDIVES
Y,MALI
N,MALTA
N,MARSHALL ISLANDS
Y,MAURITANIA
Y,MAURITIUS
Y,MEXICO
N,MICRONESIA (FEDERATED STATES OF)
N,MONACO
Y,MONGOLIA
N,MONTENEGRO
Y,MOROCCO
Y,MOZAMBIQUE
Y,MYANMAR
Y,NAMIBIA
Y,NEPAL
N,NETHERLANDS
N,NEW ZEALAND
Y,NICARAGUA
Y,NIGER
Y,NIGERIA
N,NORWAY
Y,OMAN
Y,PAKISTAN
Y,PALAU
Y,PANAMA
Y,PERU
Y,PHILIPPINES
N,POLAND
N,PORTUGAL
Y,QATAR
N,REPUBLIC OF KOREA
N,REPUBLIC OF MOLDOVA
N,ROMANIA
Y,RUSSIAN FEDERATION
Y,RWANDA
Y,SAINT KITTS AND NEVIS
Y,SAINT LUCIA
Y,SAINT VINCENT AND THE GRENADINES
Y,SAMOA
N,SAN MARINO
Y,SAO TOME AND PRINCIPE
Y,SAUDI ARABIA
Y,SENEGAL
N,SERBIA
Y,SIERRA LEONE
Y,SINGAPORE
N,SLOVAKIA
N,SLOVENIA
Y,SOLOMON ISLANDS
Y,SOMALIA
Y,SOUTH AFRICA
Y,SOUTH SUDAN
N,SPAIN
Y,SRI LANKA
Y,SUDAN
Y,SURINAME
N,SWEDEN
N,SWITZERLAND
Y,SYRIAN ARAB REPUBLIC
Y,TAJIKISTAN
Y,THAILAND
N,THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA
Y,TIMOR-LESTE
Y,TOGO
A,TONGA
Y,TRINIDAD AND TOBAGO
Y,TUNISIA
N,TURKEY
Y,TURKMENISTAN
Y,TUVALU
Y,UGANDA
N,UKRAINE
Y,UNITED ARAB EMIRATES
N,UNITED KINGDOM
Y,UNITED REPUBLIC OF TANZANIA
N,UNITED STATES
Y,URUGUAY
Y,UZBEKISTAN
Y,VANUATU
Y,VENEZUELA (BOLIVARIAN REPUBLIC OF)
Y,VIET NAM
Y,YEMEN
Y,ZAMBIA
Y,ZIMBABWE
